4,2025/9/2,15722.04,-161.42,2173.78
2,2025/9/2,2501138.75,8898.40,210156.75
3,2025/9/2,3223625.00,28604.09,245434.00
5,2025/9/2,121400.00,-9329.08,7280.00
1,2025/9/3,794764.00,11098.74,-4240.00
4,2025/9/3,11432.24,973.49,1839.15
2,2025/9/3,2501138.75,8898.40,178594.47
3,2025/9/3,3223625.00,28604.09,238402.00
5,2025/9/3,121400.00,-9329.08,5520.00
1,2025/9/4,794764.00,11098.74,-23110.00
4,2025/9/4,11432.24,973.49,1957.62
2,2025/9/4,2501138.75,8898.40,97315.31
3,2025/9/4,3223625.00,28604.09,154176.00
5,2025/9/4,121400.00,-9329.08,3240.00
1,2025/9/5,406435.00,24342.42,-16054.00
4,2025/9/5,11432.24,973.49,1788.60
2,2025/9/5,2422838.75,13470.10,149182.49
3,2025/9/5,3223625.00,28604.09,276763.00
5,2025/9/5,121400.00,-9329.08,5000.00
1,2025/9/8,545707.00,24342.42,-12826.00
4,2025/9/8,11432.24,973.49,2011.54
2,2025/9/8,2514158.75,13470.10,191249.39
3,2025/9/8,3273485.00,28604.09,341379.00
5,2025/9/8,121400.00,-9329.08,6480.00
1,2025/9/9,535477.00,26070.30,-13080.00
4,2025/9/9,11432.24,973.49,2253.68
2,2025/9/9,2440867.55,18450.61,164973.99
3,2025/9/9,3177077.00,43024.35,268592.00
5,2025/9/9,121400.00,-9329.08,5960.00
1,2025/9/10,681701.00,26070.30,-9688.00
4,2025/9/10,7066.00,2165.38,1136.00
2,2025/9/10,2440867.55,18450.61,161285.43
3,2025/9/10,3210562.00,50435.28,240094.00
5,2025/9/10,121400.00,-9329.08,6760.00
1,2025/9/11,681701.00,26070.30,13109.00
4,2025/9/11,7066.00,2165.38,1196.00
2,2025/9/11,2440867.55,18450.61,204627.61
3,2025/9/11,3210562.00,50435.28,276622.00
5,2025/9/11,121400.00,-9329.08,6760.00
1,2025/9/12,584219.00,27946.82,11452.00
4,2025/9/12,7066.00,2165.38,1162.00
2,2025/9/12,2440867.55,18450.61,232937.75
3,2025/9/12,3252462.00,50435.28,251052.00
5,2025/9/12,121400.00,-9329.08,7680.00
1,2025/9/15,683059.00,27946.82,3167.00
4,2025/9/15,7066.00,2165.38,1200.00
2,2025/9/15,2413957.55,55313.71,196103.43
3,2025/9/15,3252462.00,50435.28,258826.00
5,2025/9/15,121400.00,-9329.08,5000.00
1,2025/9/16,731719.00,27946.82,13488.00
4,2025/9/16,3533.00,2828.85,684.00
2,2025/9/16,2353742.15,60000.09,194358.23
3,2025/9/16,3252462.00,50435.28,254686.00
5,2025/9/16,121400.00,-9329.08,5000.00
1,2025/9/17,737387.00,30485.22,15818.00
4,2025/9/17,3533.00,2828.85,700.00
2,2025/9/17,2168355.35,106312.91,169274.37
3,2025/9/17,3239710.00,53252.91,286121.00
